"stockcode","description","quantity","revenue","profit"
"16218","CARTOON  PENCIL SHARPENERS","3821","283.3100","70.827500"
"16219","HOUSE SHAPE PENCIL SHARPENER","3000","404.8400","101.210000"
"16225","RATTLE SNAKE EGGS","815","691.8500","172.962500"
"16235","RECYCLED PENCIL WITH RABBIT ERASER","3103","702.7500","175.687500"
"16236","KITTY PENCIL ERASERS","1438","320.0900","80.022500"
"16237","SLEEPING CAT ERASERS","4934","1035.9600","258.990000"
"16238","PARTY TIME PENCIL ERASERS","1398","322.0900","80.522500"
"16244B","MAXWELL 2 TONE BLUE 60 PAGE PHOTO A","7","7.8500","1.962500"
"16244B","","-5","0.0000","0.000000"
"16248B","BLUE HOLE PUNCH","13","16.2500","4.062500"
"16248B","","2","0.0000","0.000000"
"16254","TRANSPARENT ACRYLIC TAPE DISPENSER","40","42.5800","10.645000"
"16254","","-5","0.0000","0.000000"
"16258A","SWIRLY CIRCULAR RUBBERS IN BAG","471","178.5500","44.637500"
"16259","PIECE OF CAMO STATIONERY SET","3272","317.9200","79.480000"
"16259","","-3167","0.0000","0.000000"
"17001","HEAVENS SCENT FRAGRANCE OILS ASSTD","72","20.8800","5.220000"
"17003","BROCADE RING PURSE ","23053","5863.5900","1465.897500"
"17007B","S/3 POT POURI CUSHIONS BLUE COLOURS","24","50.4000","12.600000"
"17007B","","-4","0.0000","0.000000"
"17011A","","-61","0.0000","0.000000"
"17011F","ORIGAMI SANDLEWOOD INCENSE+FLOWER","81","66.3600","16.590000"
"17011F","","-18","0.0000","0.000000"
"17012A","ORIGAMI VANILLA INCENSE/CANDLE SET ","323","375.9300","93.982500"
"17012A","","-86","0.0000","0.000000"
"17012B","check","-70","0.0000","0.000000"
"17012B","ORIGAMI JASMINE INCENSE/CANDLE SET","525","595.8500","148.962500"
"17012B","","-2","0.0000","0.000000"
"17012C","check","-22","0.0000","0.000000"
"17012C","ORIGAMI LAVENDER INCENSE/CANDL SET ","421","484.3500","121.087500"
"17012D","ORIGAMI ROSE INCENSE/CANDLE SET ","463","550.6400","137.660000"
"17012E","ORIGAMI OPIUM INCENSE/CANDLE SET ","68","74.6400","18.660000"
"17012F","check","14","0.0000","0.000000"
"17012F","ORIGAMI SANDLEWOOD INCENSE/CAND SET","448","530.6000","132.650000"
"17013D","ORIGAMI ROSE INCENSE IN TUBE","535","267.8200","66.955000"
"17013D","","-29","0.0000","0.000000"
"17014A","ORIGAMI VANILLA INCENSE CONES","155","71.1900","17.797500"
"17014A","","11","0.0000","0.000000"
"17021","NAMASTE SWAGAT INCENSE","2427","643.1400","160.785000"
"17028J","INCENSE BAZAAR PEACH","6","2.5200","0.630000"
"17038","PORCELAIN BUDAH INCENSE HOLDER","1525","158.0600","39.515000"
"17084A","TRANQUILITY MASALA INCENSE","200","42.0000","10.500000"
"17084J","LOVE POTION MASALA INCENSE","225","47.2500","11.812500"
"17084N","FAIRY DREAMS INCENSE ","1264","313.3100","78.327500"
"17084P","DRAGONS BLOOD INCENSE","423","104.4400","26.110000"
"17084R","ASSORTED INCENSE PACK","4032","760.3200","190.080000"
"17090A","LAVENDER INCENSE 40 CONES IN TIN","109","107.4500","26.862500"
"17090D","VANILLA INCENSE 40 CONES IN TIN","29","36.2500","9.062500"
"17090D","","-10","0.0000","0.000000"
"17091A","found","84","0.0000","0.000000"
"17091A","LAVENDER INCENSE IN TIN","172","99.2900","24.822500"
"17091A","","84","0.0000","0.000000"
"17091J","VANILLA INCENSE IN TIN","2084","920.6700","230.167500"
"17096","ASSORTED LAQUERED INCENSE HOLDERS","2545","455.9800","113.995000"
"17096","","-48","0.0000","0.000000"
"17107D","FLOWER FAIRY 5 DRAWER LINERS","60","153.0000","38.250000"
"17107D","FLOWER FAIRY 5 SUMMER DRAW LINERS","6","15.3000","3.825000"
"17107D","FLOWER FAIRY,5 SUMMER B'DRAW LINERS","105","267.7500","66.937500"
"17109D","Adjustment","14","0.0000","0.000000"
"17109D","FLOWER FAIRY INCENSE BOUQUET","61","32.3500","8.087500"
"17129F","BLUE GLASS GEMS IN BAG","586","552.1300","138.032500"
"17136A","BLUE STONES ON WIRE FOR CANDLE","404","33.7500","8.437500"
"17136A","check","3","0.0000","0.000000"
"17164B","ASS COL SMALL SAND GECKO P'WEIGHT","29","12.1800","3.045000"
"17165D","ASS COL LARGE SAND FROG P'WEIGHT","27","28.3500","7.087500"
"17165D","","-1","0.0000","0.000000"
"17174","ASSTD RASTA KEY-CHAINS","9","3.7800","0.945000"
"17191A","ROSE FLOWER CANDLE+INCENSE 16X16CM","4","15.0000","3.750000"
"18007","ESSENTIAL BALM 3.5g TIN IN ENVELOPE","5884","395.6100","98.902500"
"18007","","-2834","0.0000","0.000000"
"18094C","WHITE AND BLUE CERAMIC OIL BURNER","192","283.9300","70.982500"
"18094C","","-67","0.0000","0.000000"
"18097A","PINK TALL PORCELAIN T-LIGHT HOLDER ","5","12.7500","3.187500"
"18097A","","-23","0.0000","0.000000"
"18097C","WHITE TALL PORCELAIN T-LIGHT HOLDER","407","1029.4100","257.352500"
"18098c","PORCELAIN BUTTERFLY OIL BURNER","52","263.1200","65.780000"
"18098C","PORCELAIN BUTTERFLY OIL BURNER","221","658.7500","164.687500"
"18098C","","-130","0.0000","0.000000"
"20615","BLUE POLKADOT PASSPORT COVER","313","466.9900","116.747500"
"20616","CHERRY BLOSSOM PASSPORT COVER","194","243.5300","60.882500"
"20617","FIRST CLASS PASSPORT COVER ","93","194.9400","48.735000"
"20618","QUEEN OF THE SKIES PASSPORT COVER ","148","286.3900","71.597500"
"20619","TROPICAL PASSPORT COVER ","262","439.6500","109.912500"
"20622","VIP PASSPORT COVER ","43","94.0400","23.510000"
"20622","VIPPASSPORT COVER ","143","211.7600","52.940000"
"20652","BLUE POLKADOT LUGGAGE TAG ","272","350.6100","87.652500"
"20652","check","-37","0.0000","0.000000"
"20653","CHERRY BLOSSOM LUGGAGE TAG","73","95.1800","23.795000"
"20654","FIRST CLASS LUGGAGE TAG ","152","193.5900","48.397500"
"20655","QUEEN OF SKIES LUGGAGE TAG","197","292.2900","73.072500"
"20657","TROPICAL LUGGAGE TAG","73","105.9100","26.477500"
"20658","RED RETROSPOT LUGGAGE TAG","422","638.3600","159.590000"
"20658","","-78","0.0000","0.000000"
"20659","ECONOMY LUGGAGE TAG","159","248.0900","62.022500"
"20661","BLUE POLKADOT PURSE ","44","141.1500","35.287500"
"20662","FIRST CLASS HOLIDAY PURSE ","31","90.4200","22.605000"
"20663","QUEEN OF THE SKIES HOLIDAY PURSE ","25","66.2600","16.565000"
"20664","TROPICAL HOLIDAY PURSE ","32","81.6600","20.415000"
"20664","","9","0.0000","0.000000"
"20665","adjustment","-15","0.0000","0.000000"
"20665","dotcom","21","0.0000","0.000000"
"20665","RED RETROSPOT PURSE ","461","1546.2700","386.567500"
"20665","","-49","0.0000","0.000000"
"20666","ECONOMY HOLIDAY PURSE","30","41.5300","10.382500"
"20666","","-5","0.0000","0.000000"
"20667","CHERRY BLOSSOM PURSE","20","49.6900","12.422500"
"20668","DISCO BALL CHRISTMAS DECORATION","12979","1512.9200","378.230000"
"20669","RED HEART LUGGAGE TAG","304","447.3400","111.835000"
"20669","","-25","0.0000","0.000000"
"20670","VIP HOLIDAY PURSE","14","44.0400","11.010000"
"20671","BLUE TEATIME PRINT BOWL ","10","12.5000","3.125000"
"20671","","-22","0.0000","0.000000"
"20674","GREEN POLKADOT BOWL","1570","2024.9800","506.245000"
"20675","BLUE POLKADOT BOWL","3109","3969.3700","992.342500"
"20676","RED RETROSPOT BOWL","5054","6413.5600","1603.390000"
"20677","PINK POLKADOT BOWL","3671","4743.5900","1185.897500"
"20678","LARGE BLACK DIAMANTE HAIRSLIDE","4","6.6000","1.650000"
"20679","EDWARDIAN PARASOL RED","1701","9967.8700","2491.967500"
"20681","MIA","-154","0.0000","0.000000"
"20681","PINK POLKADOT CHILDRENS UMBRELLA","138","500.4600","125.115000"
"20681","","-1","0.0000","0.000000"
"20682","RED RETROSPOT CHILDRENS UMBRELLA","1225","4125.8300","1031.457500"
"20684","STRAWBERRY DREAM CHILDS UMBRELLA","81","273.8100","68.452500"
"20684","","-45","0.0000","0.000000"
"20685","DOORMAT RED RETROSPOT","4027","27621.3200","6905.330000"
"20686","DOLLY MIXTURE CHILDREN'S UMBRELLA","270","932.4200","233.105000"
"20686","","-95","0.0000","0.000000"
"20689","","-5","0.0000","0.000000"
"20694","?","-110","0.0000","0.000000"
"20694","FLORAL PINK MONSTER","43","187.5400","46.885000"
"20695","FLORAL BLUE MONSTER","5","21.2500","5.312500"
"20696","FLORAL SOFT CAR TOY","54","230.8100","57.702500"
"20697","LITTLE GREEN MONSTER SOFT TOY","21","53.5500","13.387500"
"20698","LITTLE PINK MONSTER SOFT TOY","17","43.3500","10.837500"
"20699","MOUSEY LONG LEGS SOFT TOY","97","266.0300","66.507500"
"20699","","-16","0.0000","0.000000"
"20700","?","-121","0.0000","0.000000"
"20700","GREEN CAT FLORAL CUSHION COVER ","73","345.1700","86.292500"
"20701","PINK CAT FLORAL CUSHION COVER ","25","100.9700","25.242500"
"20701","","-30","0.0000","0.000000"
"20702","PINK PADDED MOBILE","135","577.7900","144.447500"
"20702","","11","0.0000","0.000000"
"20703","BLUE PADDED SOFT MOBILE","-6","-25.5000","-6.375000"
"20704","MR ROBOT SOFT TOY","212","669.9000","167.475000"
"20705","MRS ROBOT SOFT TOY","142","426.9000","106.725000"
"20707","CRAZY DAISY HEART DECORATION","463","467.1400","116.785000"
"20711","check","-220","0.0000","0.000000"
"20711","JUMBO BAG TOYS ","4986","10974.3100","2743.577500"
"20711","lost in space","-98","0.0000","0.000000"
"20712","JUMBO BAG WOODLAND ANIMALS","9533","21665.9600","5416.490000"
"20713","found","100","0.0000","0.000000"
"20713","Found","100","0.0000","0.000000"
"20713","JUMBO BAG OWLS","11201","22599.5300","5649.882500"
"20713","Marked as 23343","400","0.0000","0.000000"
"20713","wrongly coded-23343","-800","0.0000","0.000000"
"20713","wrongly coded 23343","1000","0.0000","0.000000"
"20713","wrongly marked 23343","200","0.0000","0.000000"
"20713","wrongly marked. 23343 in box","-3100","0.0000","0.000000"
"20713","","58","0.0000","0.000000"
"20716","PARTY FOOD SHOPPER BAG","400","469.6300","117.407500"
"20716","","-78","0.0000","0.000000"
"20717","STRAWBERRY SHOPPER BAG","2835","3536.9800","884.245000"
"20718","RED RETROSPOT SHOPPER BAG","4741","6570.0500","1642.512500"
"20719","WOODLAND CHARLOTTE BAG","13198","16672.3500","4168.087500"
"20723","STRAWBERRY CHARLOTTE BAG","9723","12489.6900","3122.422500"
"20724","RED RETROSPOT CHARLOTTE BAG","17548","21606.4800","5401.620000"
"20725","LUNCH BAG RED RETROSPOT","18779","34897.3100","8724.327500"
"20725","LUNCH BAG RED SPOTTY","200","290.0000","72.500000"
"20726","LUNCH BAG WOODLAND","9852","18188.4800","4547.120000"
"20727","LUNCH BAG  BLACK SKULL.","12112","22219.0100","5554.752500"
"20728","LUNCH BAG CARS BLUE","11603","21423.1300","5355.782500"
"20731","POSY CANDY BAG","92","109.9600","27.490000"
"20731","","-5","0.0000","0.000000"
"20733","GOLD MINI TAPE MEASURE ","936","742.0600","185.515000"
"20734","SILVER MINI TAPE MEASURE ","158","271.2200","67.805000"
"20734","","-9","0.0000","0.000000"
"20735","BLACK MINI TAPE MEASURE ","624","625.8000","156.450000"
"20735","","-472","0.0000","0.000000"
"20738","","-36","0.0000","0.000000"
"20748","Found","40","0.0000","0.000000"
"20748","KENSINGTON COFFEE SET","57","751.1700","187.792500"
"20748","","12","0.0000","0.000000"
"20749","ASSORTED COLOUR MINI CASES","1762","12550.5700","3137.642500"
"20750","RED RETROSPOT MINI CASES","1742","12595.2300","3148.807500"
"20751","check","-35","0.0000","0.000000"
"20751","FUNKY WASHING UP GLOVES ASSORTED","1002","2106.6200","526.655000"
"20752","BLUE POLKADOT WASHING UP GLOVES","412","930.9500","232.737500"
"20752","check","-10","0.0000","0.000000"
"20752","","-40","0.0000","0.000000"
"20754","Found","57","0.0000","0.000000"
"20754","RETROSPOT RED WASHING UP GLOVES","1457","3088.8600","772.215000"
"20755","BLUE PAISLEY POCKET BOOK","307","272.0200","68.005000"
"20756","GREEN FERN POCKET BOOK","63","53.5500","13.387500"
"20756","","-70","0.0000","0.000000"
"20757","RED DAISY POCKET BOOK ","167","144.2900","36.072500"
"20758","ABSTRACT CIRCLES POCKET BOOK","162","137.7000","34.425000"
"20758","","-54","0.0000","0.000000"
"20759","CHRYSANTHEMUM POCKET BOOK ","64","54.4000","13.600000"
"20759","","-52","0.0000","0.000000"
"20760","GARDEN PATH POCKET BOOK","69","58.6500","14.662500"
"20760","","31","0.0000","0.000000"
"20761","BLUE PAISLEY SKETCHBOOK","123","517.2200","129.305000"
"20762","GREEN FERN SKETCHBOOK ","106","420.0800","105.020000"
"20763","DAISY SKETCHBOOK ","73","205.0400","51.260000"
"20764","ABSTRACT CIRCLES SKETCHBOOK ","144","610.8100","152.702500"
"20765","CHRYSANTHEMUM SKETCHBOOK ","104","423.5500","105.887500"
"20766","GARDEN PATH SKETCHBOOK","124","501.0700","125.267500"
"20767","BLUE PAISLEY JOURNAL ","253","663.7100","165.927500"
"20768","GREEN FERN JOURNAL ","177","441.1200","110.280000"
"20769","DAISY JOURNAL ","80","217.5600","54.390000"
"20770","ABSTRACT CIRCLE JOURNAL ","185","449.8000","112.450000"
"20771","CHRYSANTHEMUM  JOURNAL","103","269.6800","67.420000"
"20772","GARDEN PATH JOURNAL","246","618.6400","154.660000"
"20773","BLUE PAISLEY NOTEBOOK","56","92.4000","23.100000"
"20773","","-13","0.0000","0.000000"
"20774","damaged","-14","0.0000","0.000000"
"20774","GREEN FERN NOTEBOOK","86","141.2400","35.310000"
"20774","","-3","0.0000","0.000000"
"20775","DAISY NOTEBOOK ","135","235.1900","58.797500"
"20775","","-64","0.0000","0.000000"
"20777","CHRYSANTHEMUM NOTEBOOK","169","282.4900","70.622500"
"20778","GARDEN PATH NOTEBOOK ","15","24.7500","6.187500"
"20778","","-4","0.0000","0.000000"
"20780","BLACK EAR MUFF HEADPHONES","48","318.1900","79.547500"
"20781","GOLD EAR MUFF HEADPHONES","37","216.1600","54.040000"
"20782","CAMOUFLAGE EAR MUFF HEADPHONES","54","373.5700","93.392500"
"20785","FUSCHIA RETRO BAR STOOL","14","523.3000","130.825000"
"20785","","-2","0.0000","0.000000"
"20793","BLUE TILED TRAY","3","20.2500","5.062500"
"20793","","-5","0.0000","0.000000"
"20794","BLUE  TILE HOOK","90","259.8400","64.960000"
"20795","LARGE BLUE PROVENCAL CERAMIC BALL","43","100.4500","25.112500"
"20796","SMALL BLUE PROVENCAL CERAMIC BALL","62","103.9400","25.985000"
"20798","CLEAR MILKSHAKE GLASS","32","69.0000","17.250000"
"20798","","5","0.0000","0.000000"
"20801","LARGE PINK GLASS SUNDAE DISH","981","1133.8000","283.450000"
"20801","","6","0.0000","0.000000"
"20802","SMALL GLASS SUNDAE DISH CLEAR","700","964.4000","241.100000"
"20803","damages","-40","0.0000","0.000000"
"20803","SMALL PINK GLASS SUNDAE DISH","877","450.1600","112.540000"
"20816","GOLD FLOWER CUSHION COVER ","8","15.6000","3.900000"
"20816","","-11","0.0000","0.000000"
"20818","GOLD TEDDY BEAR","15","42.7000","10.675000"
"20819","SILVER TEDDY BEAR","64","244.7200","61.180000"
"20820","SILVER LOOKING MIRROR","5","24.7500","6.187500"
"20820","","-3","0.0000","0.000000"
"20821","GOLDIE LOOKING MIRROR","5","24.7500","6.187500"
"20821","","9","0.0000","0.000000"
"20823","GOLD WINE GOBLET","168","132.7200","33.180000"
"20823","","-102","0.0000","0.000000"
"20825","","-5","0.0000","0.000000"
"20826","SILVER APERITIF GLASS","276","128.4000","32.100000"
"20826","","-169","0.0000","0.000000"
"20827","damages","-68","0.0000","0.000000"
"20827","GOLD APERITIF GLASS","88","34.3200","8.580000"
"20828","GLITTER BUTTERFLY CLIPS","1130","3079.8800","769.970000"
"20829","GLITTER HANGING BUTTERFLY STRING","1195","2519.7900","629.947500"
"20830","SILVER PHOTO FRAME","135","407.7300","101.932500"
"20831","GOLD PHOTO FRAME","216","466.5300","116.632500"
"20832","check","110","0.0000","0.000000"
"20832","RED FLOCK LOVE HEART PHOTO FRAME","1090","581.1800","145.295000"
"20835","FRENCH LATTICE CUSHION COVER ","67","65.8000","16.450000"
"20836","FRENCH PAISLEY CUSHION COVER","158","131.1400","32.785000"
"20837","FRENCH FLORAL CUSHION COVER ","141","142.4700","35.617500"
"20838","FRENCH LATTICE CUSHION COVER ","373","451.2500","112.812500"
"20839","damages","-80","0.0000","0.000000"
"20839","FRENCH PAISLEY CUSHION COVER ","575","840.4400","210.110000"
"20840","damages","-30","0.0000","0.000000"
"20840","FRENCH FLORAL CUSHION COVER ","521","622.1200","155.530000"
"20845","ZINC HEART LATTICE 2 WALL PLANTER","19","120.6500","30.162500"
"20846","ZINC HEART LATTICE T-LIGHT HOLDER","717","958.5700","239.642500"
"20847","ZINC HEART LATTICE CHARGER LARGE","52","217.5800","54.395000"
"20848","ZINC HEART LATTICE CHARGER SMALL","21","61.9500","15.487500"
"20849","","1","0.0000","0.000000"
"20850","","-3","0.0000","0.000000"
"20851","ZINC HEART LATTICE TRAY OVAL ","9","53.5500","13.387500"
"20851","","1","0.0000","0.000000"
"20854","BLUE PATCH PURSE PINK HEART","230","363.2200","90.805000"
"20854","","-82","0.0000","0.000000"
"20856","??","-140","0.0000","0.000000"
"20856","DENIM PATCH PURSE PINK BUTTERFLY","206","340.7900","85.197500"
"20857","BLUE ROSE PATCH PURSE PINK BUTTERFL","17","28.0500","7.012500"
"20857","","-34","0.0000","0.000000"
"20860","GOLD COSMETICS BAG WITH BUTTERFLY","1","2.1000","0.525000"
"20860","","-7","0.0000","0.000000"
"20861","GOLD COSMETIC BAG PINK STAR","2","4.2000","1.050000"
"20863","","-6","0.0000","0.000000"
"20864","","-1","0.0000","0.000000"
"20866","?","-230","0.0000","0.000000"
"20866","BLUE ROSE FABRIC MIRROR","478","583.7500","145.937500"
"20867","?","-271","0.0000","0.000000"
"20867","PINK ROSE FABRIC MIRROR","331","393.4700","98.367500"
"20868","SILVER FABRIC MIRROR","458","219.3500","54.837500"
"20869","GOLD FABRIC MIRROR","180","86.7600","21.690000"
"20871","OPULENT VELVET SET/3 CANDLES","2","8.4200","2.105000"
"20878","SET/9 CHRISTMAS T-LIGHTS SCENTED ","25","31.2500","7.812500"
"20878","","2","0.0000","0.000000"
"20886","BOX OF 9 PEBBLE CANDLES","480","976.4800","244.120000"
"20886","","-55","0.0000","0.000000"
"20892","SET/3 TALL GLASS CANDLE HOLDER PINK","4","89.2200","22.305000"
"20892","","-34","0.0000","0.000000"
"20893","damages","-55","0.0000","0.000000"
"20893","damages/display","-197","0.0000","0.000000"
"20893","HANGING BAUBLE T-LIGHT HOLDER SMALL","233","535.9700","133.992500"
"20894","HANGING BAUBLE T-LIGHT HOLDER LARGE","33","108.7100","27.177500"
"20896","","-5","0.0000","0.000000"
"20897","VINTAGE NOTEBOOK PARIS DAYS","95","262.8700","65.717500"
"20898","check","-10","0.0000","0.000000"
"20898","VINTAGE NOTEBOOK TRAVELOGUE","32","88.0300","22.007500"
"20901","VINTAGE KEEPSAKE BOX PINK FLOWER","18","78.7800","19.695000"
"20902","check","-3","0.0000","0.000000"
"20902","VINTAGE KEEPSAKE BOX PARIS DAYS","112","686.8600","171.715000"
"20903","VINTAGE KEEPSAKE BOX TRAVELOGUE","82","441.8900","110.472500"
"20903","","-33","0.0000","0.000000"
"20906","VINTAGE NOTEBOOK BEAUTY GIRL","3","8.8500","2.212500"
"20906","","-21","0.0000","0.000000"
"20910","VINTAGE PHOTO ALBUM PARIS DAYS","8","50.8000","12.700000"
"20910","","-1","0.0000","0.000000"
"20914","SET/5 RED RETROSPOT LID GLASS BOWLS","5977","17354.9500","4338.737500"
"20914","SET/5 RED SPOTTY LID GLASS BOWLS","288","734.4000","183.600000"
"20931","BLUE POT PLANT CANDLE ","284","1015.8500","253.962500"
"20932","PINK POT PLANT CANDLE","194","599.2900","149.822500"
"20933","YELLOW POT PLANT CANDLE","23","71.0500","17.762500"
"20933","","-3","0.0000","0.000000"
"20934","SET/3 POT PLANT CANDLES","54","349.1600","87.290000"
"20934","","-15","0.0000","0.000000"
"20935","ROUND CACTUS CANDLE","6","17.7000","4.425000"
"20936","FORKED CACTUS CANDLE","99","316.7100","79.177500"
"20941","FROG CANDLE","62","81.2800","20.320000"
"20941","","-4","0.0000","0.000000"
"20950","","1","0.0000","0.000000"
"20954","*USB Office Mirror Ball","2","16.9400","4.235000"
"20954","","-2","0.0000","0.000000"
"20956","?","-723","0.0000","0.000000"
"20956","check","-152","0.0000","0.000000"
"20956","PORCELAIN T-LIGHT HOLDERS ASSORTED","819","1142.7700","285.692500"
"20956","","288","0.0000","0.000000"
"20957","PORCELAIN HANGING BELL SMALL","-1","-1.4500","-0.362500"
"20960","WATERMELON BATH SPONGE","29","72.4900","18.122500"
"20961","STRAWBERRY BATH SPONGE ","1185","1686.6800","421.670000"
"20963","APPLE BATH SPONGE","1338","1913.6700","478.417500"
