stockcode,description,quantity,revenue,profit,inventorydays,status
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40,42.58,10.645,109.5,Low
16254,,-5,0.0,0.0,-876.0,Normal
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,471,178.55,44.6375,9.299363057324841,Normal
16259,PIECE OF CAMO STATIONERY SET,3272,317.92,79.48,1.3386308068459656,Normal
16259,,-3167,0.0,0.0,-1.3830123144932112,Normal
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88,5.22,60.833333333333336,Low
17003,BROCADE RING PURSE ,23053,5863.59,1465.8975,0.18999696351884787,Normal
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.4,12.6,182.5,Low
17007B,,-4,0.0,0.0,-1095.0,Normal
17011A,,-61,0.0,0.0,-71.8032786885246,Normal
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,81,66.36,16.59,54.074074074074076,Low
17011F,,-18,0.0,0.0,-243.33333333333334,Normal
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,323,375.93,93.9825,13.560371517027864,Normal
17012A,,-86,0.0,0.0,-50.93023255813953,Normal
17012B,check,-70,0.0,0.0,-62.57142857142858,Normal
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,525,595.85,148.9625,8.342857142857143,Normal
17012B,,-2,0.0,0.0,-2190.0,Normal
17012C,check,-22,0.0,0.0,-199.0909090909091,Normal
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,421,484.35,121.0875,10.403800475059382,Normal
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,463,550.64,137.66,9.460043196544277,Normal
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,68,74.64,18.66,64.41176470588235,Low
17012F,check,14,0.0,0.0,312.85714285714283,Low
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,448,530.6,132.65,9.776785714285714,Normal
17013D,ORIGAMI ROSE INCENSE IN TUBE,535,267.82,66.955,8.186915887850466,Normal
17013D,,-29,0.0,0.0,-151.0344827586207,Normal
17014A,ORIGAMI VANILLA INCENSE CONES,155,71.19,17.7975,28.258064516129032,Normal
17014A,,11,0.0,0.0,398.1818181818182,Low
17021,NAMASTE SWAGAT INCENSE,2427,643.14,160.785,1.8046971569839307,Normal
17028J,INCENSE BAZAAR PEACH,6,2.52,0.63,730.0,Low
17038,PORCELAIN BUDAH INCENSE HOLDER,1525,158.06,39.515,2.872131147540984,Normal
17084A,TRANQUILITY MASALA INCENSE,200,42.0,10.5,21.9,Normal
17084J,LOVE POTION MASALA INCENSE,225,47.25,11.8125,19.466666666666665,Normal
17084N,FAIRY DREAMS INCENSE ,1264,313.31,78.3275,3.4651898734177218,Normal
17084P,DRAGONS BLOOD INCENSE,423,104.44,26.11,10.354609929078014,Normal
17084R,ASSORTED INCENSE PACK,4032,760.32,190.08,1.0863095238095237,Normal
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,107.45,26.8625,40.183486238532105,Normal
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,9.0625,151.0344827586207,Low
17090D,,-10,0.0,0.0,-438.0,Normal
17091A,found,84,0.0,0.0,52.142857142857146,Low
17091A,LAVENDER INCENSE IN TIN,172,99.29,24.8225,25.465116279069765,Normal
17091A,,84,0.0,0.0,52.142857142857146,Low
17091J,VANILLA INCENSE IN TIN,2084,920.67,230.1675,2.1017274472168905,Normal
17096,ASSORTED LAQUERED INCENSE HOLDERS,2545,455.98,113.995,1.7210216110019645,Normal
17096,,-48,0.0,0.0,-91.25,Normal
17107D,FLOWER FAIRY 5 DRAWER LINERS,60,153.0,38.25,73.0,Low
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.3,3.825,730.0,Low
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,66.9375,41.714285714285715,Normal
17109D,Adjustment,14,0.0,0.0,312.85714285714283,Low
17109D,FLOWER FAIRY INCENSE BOUQUET,61,32.35,8.0875,71.8032786885246,Low
17129F,BLUE GLASS GEMS IN BAG,586,552.13,138.0325,7.474402730375426,Normal
17136A,BLUE STONES ON WIRE FOR CANDLE,404,33.75,8.4375,10.841584158415843,Normal
17136A,check,3,0.0,0.0,1460.0,Low
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,29,12.18,3.045,151.0344827586207,Low
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,7.0875,162.22222222222223,Low
17165D,,-1,0.0,0.0,-4380.0,Normal
17174,ASSTD RASTA KEY-CHAINS,9,3.78,0.945,486.6666666666667,Low
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15.0,3.75,1095.0,Low
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5884,395.61,98.9025,0.7443915703602991,Normal
18007,,-2834,0.0,0.0,-1.5455187014820042,Normal
18094C,WHITE AND BLUE CERAMIC OIL BURNER,192,283.93,70.9825,22.8125,Normal
18094C,,-67,0.0,0.0,-65.37313432835822,Normal
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,12.75,3.1875,876.0,Low
18097A,,-23,0.0,0.0,-190.43478260869566,Normal
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,407,1029.41,257.3525,10.761670761670763,Normal
18098c,PORCELAIN BUTTERFLY OIL BURNER,52,263.12,65.78,84.23076923076924,Low
18098C,PORCELAIN BUTTERFLY OIL BURNER,221,658.75,164.6875,19.819004524886875,Normal
18098C,,-130,0.0,0.0,-33.69230769230769,Normal
20615,BLUE POLKADOT PASSPORT COVER,313,466.99,116.7475,13.993610223642174,Normal
20616,CHERRY BLOSSOM PASSPORT COVER,194,243.53,60.8825,22.577319587628864,Normal
20617,FIRST CLASS PASSPORT COVER ,93,194.94,48.735,47.096774193548384,Normal
20618,QUEEN OF THE SKIES PASSPORT COVER ,148,286.39,71.5975,29.594594594594593,Normal
20619,TROPICAL PASSPORT COVER ,262,439.65,109.9125,16.7175572519084,Normal
20622,VIP PASSPORT COVER ,43,94.04,23.51,101.86046511627906,Low
20622,VIPPASSPORT COVER ,143,211.76,52.94,30.62937062937063,Normal
20652,BLUE POLKADOT LUGGAGE TAG ,272,350.61,87.6525,16.102941176470587,Normal
20652,check,-37,0.0,0.0,-118.37837837837837,Normal
20653,CHERRY BLOSSOM LUGGAGE TAG,73,95.18,23.795,60.0,Low
20654,FIRST CLASS LUGGAGE TAG ,152,193.59,48.3975,28.815789473684212,Normal
20655,QUEEN OF SKIES LUGGAGE TAG,197,292.29,73.0725,22.233502538071065,Normal
20657,TROPICAL LUGGAGE TAG,73,105.91,26.4775,60.0,Low
20658,RED RETROSPOT LUGGAGE TAG,422,638.36,159.59,10.37914691943128,Normal
20658,,-78,0.0,0.0,-56.15384615384615,Normal
20659,ECONOMY LUGGAGE TAG,159,248.09,62.0225,27.547169811320753,Normal
20661,BLUE POLKADOT PURSE ,44,141.15,35.2875,99.54545454545455,Low
20662,FIRST CLASS HOLIDAY PURSE ,31,90.42,22.605,141.29032258064515,Low
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,25,66.26,16.565,175.2,Low
20664,TROPICAL HOLIDAY PURSE ,32,81.66,20.415,136.875,Low
20664,,9,0.0,0.0,486.6666666666667,Low
20665,adjustment,-15,0.0,0.0,-292.0,Normal
20665,dotcom,21,0.0,0.0,208.57142857142858,Low
20665,RED RETROSPOT PURSE ,461,1546.27,386.5675,9.501084598698482,Normal
20665,,-49,0.0,0.0,-89.38775510204083,Normal
20666,ECONOMY HOLIDAY PURSE,30,41.53,10.3825,146.0,Low
20666,,-5,0.0,0.0,-876.0,Normal
20667,CHERRY BLOSSOM PURSE,20,49.69,12.4225,219.0,Low
20668,DISCO BALL CHRISTMAS DECORATION,12979,1512.92,378.23,0.3374682178904384,Normal
20669,RED HEART LUGGAGE TAG,304,447.34,111.835,14.407894736842106,Normal
20669,,-25,0.0,0.0,-175.2,Normal
20670,VIP HOLIDAY PURSE,14,44.04,11.01,312.85714285714283,Low
20671,BLUE TEATIME PRINT BOWL ,10,12.5,3.125,438.0,Low
20671,,-22,0.0,0.0,-199.0909090909091,Normal
20674,GREEN POLKADOT BOWL,1570,2024.98,506.245,2.789808917197452,Normal
20675,BLUE POLKADOT BOWL,3109,3969.37,992.3425,1.4088131231907366,Normal
20676,RED RETROSPOT BOWL,5054,6413.56,1603.39,0.8666402849228334,Normal
20677,PINK POLKADOT BOWL,3671,4743.59,1185.8975,1.193135385453555,Normal
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1.65,1095.0,Low
20679,EDWARDIAN PARASOL RED,1701,9967.87,2491.9675,2.5749559082892417,Normal
20681,MIA,-154,0.0,0.0,-28.441558441558442,Normal
20681,PINK POLKADOT CHILDRENS UMBRELLA,138,500.46,125.115,31.73913043478261,Normal
20681,,-1,0.0,0.0,-4380.0,Normal
20682,RED RETROSPOT CHILDRENS UMBRELLA,1225,4125.83,1031.4575,3.575510204081633,Normal
20684,STRAWBERRY DREAM CHILDS UMBRELLA,81,273.81,68.4525,54.074074074074076,Low
20684,,-45,0.0,0.0,-97.33333333333333,Normal
20685,DOORMAT RED RETROSPOT,4027,27621.32,6905.33,1.0876583064315868,Normal
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,270,932.42,233.105,16.22222222222222,Normal
20686,,-95,0.0,0.0,-46.10526315789473,Normal
20689,,-5,0.0,0.0,-876.0,Normal
20694,?,-110,0.0,0.0,-39.81818181818182,Normal
20694,FLORAL PINK MONSTER,43,187.54,46.885,101.86046511627906,Low
20695,FLORAL BLUE MONSTER,5,21.25,5.3125,876.0,Low
20696,FLORAL SOFT CAR TOY,54,230.81,57.7025,81.11111111111111,Low
20697,LITTLE GREEN MONSTER SOFT TOY,21,53.55,13.3875,208.57142857142858,Low
20698,LITTLE PINK MONSTER SOFT TOY,17,43.35,10.8375,257.6470588235294,Low
20699,MOUSEY LONG LEGS SOFT TOY,97,266.03,66.5075,45.15463917525773,Normal
20699,,-16,0.0,0.0,-273.75,Normal
20700,?,-121,0.0,0.0,-36.19834710743802,Normal
20700,GREEN CAT FLORAL CUSHION COVER ,73,345.17,86.2925,60.0,Low
20701,PINK CAT FLORAL CUSHION COVER ,25,100.97,25.2425,175.2,Low
20701,,-30,0.0,0.0,-146.0,Normal
20702,PINK PADDED MOBILE,135,577.79,144.4475,32.44444444444444,Normal
20702,,11,0.0,0.0,398.1818181818182,Low
20703,BLUE PADDED SOFT MOBILE,-6,-25.5,-6.375,-730.0,Normal
20704,MR ROBOT SOFT TOY,212,669.9,167.475,20.660377358490564,Normal
20705,MRS ROBOT SOFT TOY,142,426.9,106.725,30.84507042253521,Normal
20707,CRAZY DAISY HEART DECORATION,463,467.14,116.785,9.460043196544277,Normal
20711,check,-220,0.0,0.0,-19.90909090909091,Normal
20711,JUMBO BAG TOYS ,4986,10974.31,2743.5775,0.8784596871239471,Normal
20711,lost in space,-98,0.0,0.0,-44.693877551020414,Normal
20712,JUMBO BAG WOODLAND ANIMALS,9533,21665.96,5416.49,0.459456624357495,Normal
20713,found,100,0.0,0.0,43.8,Normal
20713,Found,100,0.0,0.0,43.8,Normal
20713,JUMBO BAG OWLS,11201,22599.53,5649.8825,0.391036514596911,Normal
20713,Marked as 23343,400,0.0,0.0,10.95,Normal
20713,wrongly coded-23343,-800,0.0,0.0,-5.475,Normal
20713,wrongly coded 23343,1000,0.0,0.0,4.38,Normal
20713,wrongly marked 23343,200,0.0,0.0,21.9,Normal
20713,wrongly marked. 23343 in box,-3100,0.0,0.0,-1.4129032258064518,Normal
20713,,58,0.0,0.0,75.51724137931035,Low
20716,PARTY FOOD SHOPPER BAG,400,469.63,117.4075,10.95,Normal
20716,,-78,0.0,0.0,-56.15384615384615,Normal
20717,STRAWBERRY SHOPPER BAG,2835,3536.98,884.245,1.5449735449735449,Normal
20718,RED RETROSPOT SHOPPER BAG,4741,6570.05,1642.5125,0.9238557266399494,Normal
20719,WOODLAND CHARLOTTE BAG,13198,16672.35,4168.0875,0.33186846491892713,Normal
20723,STRAWBERRY CHARLOTTE BAG,9723,12489.69,3122.4225,0.45047824745448933,Normal
20724,RED RETROSPOT CHARLOTTE BAG,17548,21606.48,5401.62,0.24960109414178255,Normal
20725,LUNCH BAG RED RETROSPOT,18779,34897.31,8724.3275,0.23323925661643324,Normal
20725,LUNCH BAG RED SPOTTY,200,290.0,72.5,21.9,Normal
20726,LUNCH BAG WOODLAND,9852,18188.48,4547.12,0.4445797807551766,Normal
20727,LUNCH BAG  BLACK SKULL.,12112,22219.01,5554.7525,0.3616248348745046,Normal
20728,LUNCH BAG CARS BLUE,11603,21423.13,5355.7825,0.3774885805395157,Normal
20731,POSY CANDY BAG,92,109.96,27.49,47.608695652173914,Normal
20731,,-5,0.0,0.0,-876.0,Normal
20733,GOLD MINI TAPE MEASURE ,936,742.06,185.515,4.67948717948718,Normal
20734,SILVER MINI TAPE MEASURE ,158,271.22,67.805,27.721518987341774,Normal
20734,,-9,0.0,0.0,-486.6666666666667,Normal
20735,BLACK MINI TAPE MEASURE ,624,625.8,156.45,7.019230769230769,Normal
20735,,-472,0.0,0.0,-9.279661016949152,Normal
20738,,-36,0.0,0.0,-121.66666666666667,Normal
20748,Found,40,0.0,0.0,109.5,Low
20748,KENSINGTON COFFEE SET,57,751.17,187.7925,76.84210526315789,Low
20748,,12,0.0,0.0,365.0,Low
20749,ASSORTED COLOUR MINI CASES,1762,12550.57,3137.6425,2.485811577752554,Normal
20750,RED RETROSPOT MINI CASES,1742,12595.23,3148.8075,2.51435132032147,Normal
20751,check,-35,0.0,0.0,-125.14285714285715,Normal
20751,FUNKY WASHING UP GLOVES ASSORTED,1002,2106.62,526.655,4.37125748502994,Normal
20752,BLUE POLKADOT WASHING UP GLOVES,412,930.95,232.7375,10.631067961165048,Normal
20752,check,-10,0.0,0.0,-438.0,Normal
20752,,-40,0.0,0.0,-109.5,Normal
20754,Found,57,0.0,0.0,76.84210526315789,Low
20754,RETROSPOT RED WASHING UP GLOVES,1457,3088.86,772.215,3.0061770761839397,Normal
20755,BLUE PAISLEY POCKET BOOK,307,272.02,68.005,14.267100977198698,Normal
20756,GREEN FERN POCKET BOOK,63,53.55,13.3875,69.52380952380952,Low
20756,,-70,0.0,0.0,-62.57142857142858,Normal
20757,RED DAISY POCKET BOOK ,167,144.29,36.0725,26.227544910179642,Normal
20758,ABSTRACT CIRCLES POCKET BOOK,162,137.7,34.425,27.037037037037038,Normal
20758,,-54,0.0,0.0,-81.11111111111111,Normal
20759,CHRYSANTHEMUM POCKET BOOK ,64,54.4,13.6,68.4375,Low
20759,,-52,0.0,0.0,-84.23076923076924,Normal
20760,GARDEN PATH POCKET BOOK,69,58.65,14.6625,63.47826086956522,Low
20760,,31,0.0,0.0,141.29032258064515,Low
20761,BLUE PAISLEY SKETCHBOOK,123,517.22,129.305,35.609756097560975,Normal
20762,GREEN FERN SKETCHBOOK ,106,420.08,105.02,41.32075471698113,Normal
20763,DAISY SKETCHBOOK ,73,205.04,51.26,60.0,Low
20764,ABSTRACT CIRCLES SKETCHBOOK ,144,610.81,152.7025,30.416666666666668,Normal
20765,CHRYSANTHEMUM SKETCHBOOK ,104,423.55,105.8875,42.11538461538462,Normal
20766,GARDEN PATH SKETCHBOOK,124,501.07,125.2675,35.32258064516129,Normal
20767,BLUE PAISLEY JOURNAL ,253,663.71,165.9275,17.31225296442688,Normal
20768,GREEN FERN JOURNAL ,177,441.12,110.28,24.74576271186441,Normal
20769,DAISY JOURNAL ,80,217.56,54.39,54.75,Low
20770,ABSTRACT CIRCLE JOURNAL ,185,449.8,112.45,23.675675675675677,Normal
20771,CHRYSANTHEMUM  JOURNAL,103,269.68,67.42,42.52427184466019,Normal
20772,GARDEN PATH JOURNAL,246,618.64,154.66,17.804878048780488,Normal
20773,BLUE PAISLEY NOTEBOOK,56,92.4,23.1,78.21428571428571,Low
20773,,-13,0.0,0.0,-336.92307692307696,Normal
20774,damaged,-14,0.0,0.0,-312.85714285714283,Normal
20774,GREEN FERN NOTEBOOK,86,141.24,35.31,50.93023255813953,Low
20774,,-3,0.0,0.0,-1460.0,Normal
20775,DAISY NOTEBOOK ,135,235.19,58.7975,32.44444444444444,Normal
20775,,-64,0.0,0.0,-68.4375,Normal
20777,CHRYSANTHEMUM NOTEBOOK,169,282.49,70.6225,25.91715976331361,Normal
20778,GARDEN PATH NOTEBOOK ,15,24.75,6.1875,292.0,Low
20778,,-4,0.0,0.0,-1095.0,Normal
20780,BLACK EAR MUFF HEADPHONES,48,318.19,79.5475,91.25,Low
20781,GOLD EAR MUFF HEADPHONES,37,216.16,54.04,118.37837837837837,Low
20782,CAMOUFLAGE EAR MUFF HEADPHONES,54,373.57,93.3925,81.11111111111111,Low
20785,FUSCHIA RETRO BAR STOOL,14,523.3,130.825,312.85714285714283,Low
20785,,-2,0.0,0.0,-2190.0,Normal
20793,BLUE TILED TRAY,3,20.25,5.0625,1460.0,Low
20793,,-5,0.0,0.0,-876.0,Normal
20794,BLUE  TILE HOOK,90,259.84,64.96,48.666666666666664,Normal
20795,LARGE BLUE PROVENCAL CERAMIC BALL,43,100.45,25.1125,101.86046511627906,Low
20796,SMALL BLUE PROVENCAL CERAMIC BALL,62,103.94,25.985,70.64516129032258,Low
20798,CLEAR MILKSHAKE GLASS,32,69.0,17.25,136.875,Low
20798,,5,0.0,0.0,876.0,Low
20801,LARGE PINK GLASS SUNDAE DISH,981,1133.8,283.45,4.464831804281346,Normal
20801,,6,0.0,0.0,730.0,Low
20802,SMALL GLASS SUNDAE DISH CLEAR,700,964.4,241.1,6.257142857142857,Normal
20803,damages,-40,0.0,0.0,-109.5,Normal
20803,SMALL PINK GLASS SUNDAE DISH,877,450.16,112.54,4.99429874572406,Normal
20816,GOLD FLOWER CUSHION COVER ,8,15.6,3.9,547.5,Low
20816,,-11,0.0,0.0,-398.1818181818182,Normal
20818,GOLD TEDDY BEAR,15,42.7,10.675,292.0,Low
20819,SILVER TEDDY BEAR,64,244.72,61.18,68.4375,Low
20820,SILVER LOOKING MIRROR,5,24.75,6.1875,876.0,Low
20820,,-3,0.0,0.0,-1460.0,Normal
20821,GOLDIE LOOKING MIRROR,5,24.75,6.1875,876.0,Low
20821,,9,0.0,0.0,486.6666666666667,Low
20823,GOLD WINE GOBLET,168,132.72,33.18,26.071428571428573,Normal
20823,,-102,0.0,0.0,-42.94117647058823,Normal
20825,,-5,0.0,0.0,-876.0,Normal
20826,SILVER APERITIF GLASS,276,128.4,32.1,15.869565217391305,Normal
20826,,-169,0.0,0.0,-25.91715976331361,Normal
20827,damages,-68,0.0,0.0,-64.41176470588235,Normal
